mouse_outline: U+E0E6
mouse_right: U+E0E7
mouse_right_outline: U+E0E8
mouse_scroll: U+E0E9
mouse_scroll_down: U+E0EA
mouse_scroll_down_outline: U+E0EB
mouse_scroll_outline: U+E0EC
mouse_scroll_up: U+E0ED
mouse_scroll_up_outline: U+E0EE
mouse_scroll_vertical: U+E0EF
mouse_scroll_vertical_outline: U+E0F0
mouse_small: U+E0F1
mouse_vertical: U+E0F2
